index,r,l,t
56,-355.391822,2001,7922.6014750003815
57,-1421.356279,2001,8287.97704410553
58,-431.129931,1108,8504.500185966492
59,-339.752068,379,8609.644248962402
60,-106.053335,49,8625.17219209671
61,-65.946638,14,8634.332638025284
62,-1672.805947,2001,9021.556696891785
63,-1320.636376,2001,9404.317253112793
64,-449.399748,2001,9810.652024030685
65,-872.609285,2001,10212.623399019241
66,-1055.161404,2001,10594.834683895111
67,-726.136414,2001,10972.032829999924
68,-1093.043158,2001,11394.517617940903
69,-587.839891,2001,11804.222034931183
70,-1265.611628,2001,12203.831278085709
71,-1856.472793,2001,12587.397797107697
72,-1006.031372,2001,12985.517743110657
73,-1090.57818,2001,13376.338525056839
74,-1254.345124,2001,13760.274468898773
75,-2003.984757,2001,14145.217741966248
76,-1463.286061,2001,14520.554733037949
77,-551.594205,2001,14913.418704032898
78,-674.968926,2001,15308.582509040833
79,-773.220813,2001,15666.618542909622
80,-724.559714,2001,16054.867388010025
81,-680.478194,2001,16442.84246301651
82,-715.847119,2001,16832.124505996704
83,-1484.294714,2001,17211.159822940826
84,-1218.971293,2001,17602.991751909256
85,-1159.085594,2001,17968.17932200432
86,-723.486886,2001,18372.957874059677
87,-386.155603,2001,18758.493009090424
88,-306.386383,1682,19064.992180109024
89,-318.126944,495,19165.516809940338
90,-82.848488,76,19192.296277046204
91,-2003.126273,2001,19807.471596956253
92,-2058.772205,2001,20425.379023075104
93,-2116.516134,2001,21044.09959411621
94,-2191.121671,2001,21656.128263950348
95,-1688.966197,1480,22110.521245002747
96,-1757.913005,2001,22555.962580919266
97,-102.526537,389,22624.91170501709
98,-90.646937,113,22652.91423511505
99,-238.223661,183,22693.907422065735
100,-419.867692,412,22802.30069708824
101,-107.588941,316,22871.20356106758
102,-229.231385,687,23010.942521095276
103,1.0,1,23016.96479010582
104,-1016.337215,1275,23275.01390194893
105,-462.265068,420,23361.980541944504
106,-124.916997,137,23411.3623418808
107,-1677.574546,2001,23822.539572954178
108,-933.871679,2001,24197.52051591873
109,-481.767335,2001,24580.53322505951
110,-76.332684,58,24591.064560890198
111,-382.820881,2001,24956.637729883194
112,-468.289662,2001,25326.082292079926
113,-534.027945,2001,25718.205631017685
114,-826.778814,2001,26101.383085012436
115,-1507.731665,1058,26304.763370990753
116,-63.711583,8,26312.847258090973
117,-91.90666,36,26326.76249909401
118,-66.812355,13,26334.88560795784
119,-65.161727,15,26345.08406496048
120,-58.163839,9,26353.185215950012
121,-64.546619,14,26362.325968027115
122,-72.933835,17,26372.50866007805
123,-972.773578,2001,26761.498054027557
124,-1612.798676,2001,27170.888787984848
125,-1120.019883,2001,27557.979334115982
126,-1261.353404,2001,27938.689273118973
127,-730.789338,2001,28305.67960500717
128,-275.871847,2001,28708.143903017044
129,-436.111277,2001,29078.926879882812
130,-391.488208,2001,29468.074485063553
131,-988.532029,2001,29833.249088048935
132,-378.179001,2001,30213.243805885315
133,-316.911609,2001,30592.616307020187
134,-514.159537,2001,30951.79926800728
135,-897.95709,2001,31365.078732967377
136,-356.223354,2001,31751.53944993019
137,-431.405006,1098,31967.23221707344
138,-889.476134,2001,32347.73762202263
139,-3402.830364,2001,32743.461218118668
140,-1403.560767,2001,33121.51557803154
141,-2845.990343,2001,33512.67720890045
142,-1453.288759,2001,33885.291315078735
143,-931.431202,2001,34273.732920885086
144,-1281.069491,2001,34647.061170101166
145,-635.936004,2001,35047.996462106705
146,-544.352103,2001,35436.97298693657
147,-512.752922,2001,35838.83794903755
148,-1.346385,7,35840.90029811859
149,-605.09881,2001,36225.0198700428
150,-441.807904,2001,36610.92350292206
151,-326.828189,2001,36975.134680986404
152,-250.517586,2001,37366.58460402489
153,-370.075032,2001,37732.249641895294
154,-2432.090752,2001,38094.82332110405
155,-1825.337051,2001,38484.290076971054
156,-213.98726,2001,38886.69741201401
157,-245.91039,2001,39230.65320611
158,-204.278819,2001,39605.86983990669
159,-1320.971875,2001,39985.50793504715
160,-239.541146,2001,40358.702430963516
161,-197.976945,2001,40723.581463098526
