index,r,l,t
93,-1760.438134,147,9395.740694999695
94,1910.527302,128,9471.072129011154
95,-6359.094821,1681,10281.929776906967
96,-1534.400286,7,10295.089724063873
97,-1552.903994,19,10314.493335008621
98,-1532.15295,21,10334.979547023773
99,-3532.736429,1105,10904.352019071579
100,-1677.275267,83,10956.790815114975
101,-2175.67406,349,11156.627893924713
102,-3175.741204,519,11435.679671049118
103,-1549.729191,45,11477.619307041168
104,-1920.271275,145,11571.597055912018
105,-1596.11877,37,11600.369959115982
106,1841.86322,114,11668.681792020798
107,-4155.423855,563,11965.688905954361
108,-9682.788148,2585,13329.122087955475
109,-2654.90825,427,13581.820631980896
110,-2880.150055,577,13891.490040063858
111,-2961.926765,869,14353.348953962326
112,-5632.878573,1099,14934.549264907837
113,-1540.689001,9,14948.7379488945
114,-2012.650461,249,15096.756891012192
115,-7183.296304,2481,16406.154109954834
116,-1540.357013,9,16435.417757987976
117,-2533.668178,545,16737.617259979248
118,-2259.481896,283,16894.31588292122
119,-2799.147988,771,17305.1669049263
120,-1520.108709,5,17326.325617074966
121,-1551.688098,15,17343.66599392891
122,-4668.724379,1003,17874.256767988205
123,-7147.550231,2381,19114.050007104874
124,-5819.847001,1767,20040.183581113815
125,-1602.997517,33,20075.87308907509
126,-1525.635602,7,20098.097007989883
127,-2888.734694,721,20491.9496819973
128,-1939.485476,285,20649.80542588234
129,-12827.631152,4001,22741.53589606285
130,-3704.99596,865,23196.328908920288
131,-8178.998822,1891,24198.806354045868
132,-1532.361103,9,24222.027626037598
133,1593.711982,260,24366.225300073624
134,-4603.755158,1335,25065.318123102188
135,-8298.796362,2757,26518.43844103813
136,-1542.147969,9,26541.708154916763
137,-8029.764823,2049,27626.457417964935
138,-7210.243746,2005,28679.281021118164
139,-4051.196309,871,29151.34365606308
140,-3423.845042,869,29622.124227046967
141,-11960.53732,4001,31714.475728988647
142,-8702.501613,4001,33801.48836398125
143,-16618.906191,3795,35779.784204006195
144,-2399.16407,459,36028.306191921234
145,-11879.865043,3703,37964.41317296028
146,-6794.57745,1495,38751.82922196388
147,-13458.685756,4001,40852.397149086
148,-9515.868164,4001,42939.841581106186
149,-13845.587769,4001,45026.57055211067
150,-10073.739523,4001,47113.271069049835
151,-14639.242532,4001,49199.10609507561
152,-10703.987866,4001,51285.40940594673
153,-18231.429659,4001,53371.05434203148
154,-15006.000307,4001,55456.976632118225
155,-9762.633308,4001,57543.74080491066
156,-12373.590649,4001,59629.84024500847
157,-8770.127506,4001,61715.87365794182
158,-11055.00957,4001,63801.893948078156
159,-7562.621763,3200,65469.389542102814
160,-13417.34369,4001,67554.90823292732
161,-7870.007049,4001,69640.17501497269
162,-9171.690373,4001,71725.76493501663
163,-7952.537783,4001,73811.72470808029
164,1989.587,6,73818.8640639782
165,-9702.433863,4001,75904.47463011742
166,-10302.887522,4001,77989.71093392372
167,-7370.806981,4001,80074.59572696686
168,-9651.318893,4001,82159.98954606056
169,-9561.815242,4001,84245.4835100174
170,-7416.792826,4001,86330.85158801079
171,-7718.182586,4001,88414.85807299614
172,-14230.753387,4001,90499.56700611115
173,-1357.844755,1840,91460.33247995377
174,-9278.158912,4001,93544.98293089867
175,-10428.604164,4001,95629.4393749237
176,-13278.196724,4001,97712.40700888634
177,-6387.798835,4001,99797.31572699547
178,-15207.349434,4001,101853.47538995743
179,-7541.057966,4001,103901.20212292671
180,-15016.465783,4001,105950.69794607162
181,-7182.155685,4001,108019.38675999641
182,-7697.953418,4001,110101.81033706665
183,-9045.297164,4001,112184.61740398407
184,-14292.313346,4001,114267.90832304955
185,1432.471506,482,114521.90748095512
186,-8944.795289,4001,116604.5702650547
187,-8940.69151,4001,118687.42292404175
188,-6653.335704,3640,120581.73894691467
189,-8534.279824,4001,122663.85096907616
190,-12886.814509,4001,124746.3667280674
191,-14198.514944,4001,126827.45549201965
192,-13007.037241,4001,128909.23207902908
193,-14559.882482,4001,130991.37846708298
194,-13753.666761,4001,133072.2676870823
195,-3846.771074,2060,134145.3606119156
196,-388.873234,1522,134939.36258292198
197,-13355.053473,4001,137019.51599407196
198,-13088.351179,4001,139099.79463791847
199,-9070.200489,4001,141174.7988770008
200,-7960.138008,4001,143225.7528040409
201,-13467.705795,4001,145307.1204149723
202,-9793.257747,4001,147389.13110399246
203,-11267.649866,4001,149470.6075758934
204,-9932.97655,4001,151551.32551288605
205,-14833.889217,4001,153633.00899910927
206,-10351.596757,4001,155714.86012005806
207,-7875.274662,4001,157797.41740894318
208,-8418.147288,4001,159878.96496200562
209,-11527.267176,4001,161960.82007789612
210,-2028.1326,1680,162836.71933197975
211,-10970.970101,4001,164918.2800500393
212,-8552.426215,4001,167000.1223371029
213,-8992.086557,4001,169081.76690101624
214,-8292.203086,4001,171163.72338104248
215,-13689.42663,4001,173243.722812891
216,-1961.797384,1360,173953.39328694344
217,-12677.098387,4001,176034.2493340969
218,-10947.824701,4001,178116.01272296906
219,-848.896227,1168,178726.13121294975
220,-11259.699442,4001,180807.52722501755
221,-14735.968968,4001,182888.49228692055
