index,r,l,t
339,-1517.479529,3,24772.73330807686
340,-1611.944053,193,24987.033041000366
341,-1557.698703,11,25004.953135967255
342,-1524.987022,3,25014.577783107758
343,-1565.23921,231,25267.899545907974
344,-1585.908019,67,25343.33974790573
345,1851.21263,278,25635.538036108017
346,1828.674908,152,25793.160131931305
347,-1612.121171,157,25956.122047901154
348,-1519.13433,3,25965.748660087585
349,-1712.074549,71,26054.38662791252
350,-1522.801845,83,26155.46982908249
351,1913.467535,54,26217.141535043716
352,-1575.829358,25,26244.368218898773
353,-1548.576924,25,26276.657049894333
354,-1779.012858,477,26774.12365102768
355,-1549.223947,9,26798.927707910538
356,-1538.221198,5,26810.61957192421
357,-1534.513282,7,26839.42133307457
358,-1544.525373,13,26859.30767607689
359,-1710.050253,365,27241.52890110016
360,-1560.059145,17,27265.555566072464
361,-1521.03666,49,27331.48516702652
362,-1692.501358,335,27691.94857597351
363,-1554.855948,275,27990.78098511696
364,-1780.653108,267,28272.058011054993
365,-1544.652135,139,28421.743863105774
366,-1561.990815,13,28441.66994190216
367,-1642.298988,511,28974.19172811508
368,-1560.465956,169,29154.71501994133
369,-1569.92412,419,29592.72952890396
370,-1569.335811,85,29686.749346971512
371,-1580.774448,259,29959.834207057953
372,-1523.433088,5,29980.54778289795
373,-1669.230461,379,30376.992924928665
374,-1747.157195,283,30674.81352996826
375,-1559.719006,53,30735.957773923874
376,-1697.549493,271,31030.410873889923
377,-1682.708405,287,31332.366355895996
378,-1531.033591,7,31355.11316394806
379,-1531.085113,5,31375.828346014023
380,-1550.004342,5,31387.502130031586
381,-1623.449911,229,31644.881700992584
382,-1518.168297,3,31663.536794900894
383,-1683.232126,291,31969.57459807396
384,-1741.032501,205,32196.219588041306
385,-1550.370905,65,32269.700983047485
386,-1611.921126,137,32426.26948094368
387,1967.011221,46,32479.58462190628
388,1999.452,10,32490.91287302971
389,-1509.800282,45,32538.76387810707
390,-1569.018916,85,32641.852108955383
391,-1530.507473,19,32677.0689098835
392,-1596.36174,37,32730.674212932587
393,-1609.702765,131,32880.971709012985
394,-1588.208224,43,32940.83194088936
395,-1569.933863,75,33024.505387067795
396,-1590.45287,39,33071.14804506302
397,-1529.387324,5,33091.87739491463
398,-1638.675032,159,33262.00051403046
399,-1506.482982,1,33279.59487891197
400,-1512.808588,2,33289.70593190193
401,-1518.949822,7,33314.533605098724
402,-1547.656334,13,33334.430377960205
403,-1560.047298,39,33381.0487101078
404,-1542.482925,17,33405.075556993484
405,-1597.616975,25,33446.4749019146
406,-1616.254778,297,33767.87711405754
407,-1514.019717,3,33777.513722896576
408,-1516.336297,49,33834.56889295578
409,-1550.49292,9,33859.41383600235
410,-1538.203155,211,34083.26222896576
411,-1803.990914,295,34393.58894109726
412,-1535.051148,3,34403.199497938156
413,-1590.780765,123,34545.41902089119
414,-1574.810452,9,34570.26949095726
415,-1654.102241,41,34618.91374993324
416,-1520.555191,5,34639.6255838871
417,-1677.452652,405,35071.97308897972
418,1979.414055,122,35203.540466070175
419,-1603.275115,163,35372.866440057755
420,-1592.264716,29,35418.275952100754
421,-1550.858751,15,35440.23125910759
422,-1537.739862,5,35460.919312000275
423,-1603.582859,203,35685.28467607498
424,-1537.395112,9,35701.07188105583
425,-1525.248209,5,35712.748358011246
426,-1662.681775,181,35914.461122989655
427,-1541.501485,9,35939.2810189724
428,-1552.902765,31,35977.734786987305
429,-1698.436341,275,36267.487287044525
430,1960.028827,6,36279.701780080795
431,-1507.586101,1,36283.24478697777
432,-1540.028836,5,36311.985223054886
433,-1716.246307,539,36872.9616959095
434,-1573.979303,67,36957.54716396332
435,-1606.0362,33,37007.06711792946
436,-1518.225801,3,37016.71944308281
437,-1537.418325,7,37039.51175689697
438,-1518.383218,3,37049.16015505791
439,-1594.824921,55,37121.315751075745
440,-1535.211789,9,37137.107724905014
441,-1546.098107,31,37175.69223403931
442,-1527.039238,7,37189.475063085556
443,-1544.919009,19,37215.61541199684
444,-1874.124422,453,37688.66347408295
445,-1720.092877,155,37863.822446107864
446,-1553.731363,11,37890.692135095596
447,-1513.168692,3,37900.30451488495
448,-1561.619228,35,37942.9755589962
449,-1702.632325,107,38059.69812989235
450,-1632.32802,59,38127.0682220459
451,-1601.146676,63,38198.5114440918
452,-1746.384679,349,38573.37350106239
453,-1541.160517,23,38612.5964550972
454,-1543.981523,21,38649.744390010834
455,-1541.649917,109,38768.34061598778
456,-1541.270401,5,38779.98968291283
457,1922.12773,36,38832.11309194565
458,-1541.500159,41,38875.810301065445
459,-1536.083567,13,38895.72219705582
460,-1642.870496,93,38997.99997711182
461,-1583.985691,117,39134.08938407898
462,-1591.294884,81,39233.035054922104
463,-1559.786144,15,39255.02168107033
464,-1698.433629,127,39392.2841899395
465,-1542.725958,17,39425.36519289017
466,-1537.360266,7,39448.13367795944
467,-1567.172007,55,39511.30555510521
468,-1588.677386,49,39568.411351919174
469,-1587.183986,59,39644.69061207771
470,-1533.788261,15,39666.677419900894
471,-1669.752507,293,39983.96255302429
472,-1555.998593,25,40016.16980910301
473,-1544.865979,7,40038.96701002121
474,-1546.932528,7,40061.74492311478
475,-1556.415837,85,40164.93247509003
476,-1599.532235,173,40349.4254629612
477,-1589.37888,39,40405.20258307457
478,-1518.958388,3,40414.81855392456
479,-1520.576372,3,40433.48849105835
480,-1737.008771,367,40826.82728099823
481,-1548.896908,15,40848.78005003929
482,-1540.746064,7,40871.548809051514
483,-1764.506994,305,41190.56099200249
484,1956.079771,144,41342.68045401573
485,-1629.389156,287,41636.90398001671
486,-1748.238984,313,41965.56450390816
487,-1546.982596,39,42021.20964503288
488,-1626.891657,111,42151.04356098175
489,-1593.227022,31,42189.49724507332
490,-1644.383846,109,42308.15426707268
491,-1583.450533,21,42336.24244904518
492,-1722.56334,363,42720.331329107285
493,1954.446766,42,42778.63151502609
494,-1634.295093,263,43047.44070506096
495,-1676.188018,145,43200.99724507332
496,-1515.560253,11,43227.68224000931
497,-1519.201029,39,43273.748092889786
498,-1587.367192,129,43411.03278708458
499,-1708.767136,187,43607.130609989166
500,1956.439699,64,43678.007339954376
501,-1543.409893,41,43720.99421906471
502,-1613.952888,97,43834.83039307594
503,-1529.683372,7,43848.44287800789
504,-1562.743065,19,43874.24985599518
505,-1518.771453,23,43913.10144495964
506,-1545.877086,7,43926.708163022995
507,-1523.920077,5,43947.32962989807
508,-1595.701675,111,44066.35747909546
509,-1608.684861,35,44117.35029196739
510,-1664.2643,163,44288.90712094307
511,-1531.317444,77,44373.44280600548
512,-1518.671696,45,44425.527343034744
513,-1689.88875,317,44762.28241491318
514,-1853.406658,339,45114.38342308998
515,-1522.666124,75,45207.12045097351
516,-1515.496847,29,45243.48628306389
517,-1591.755771,125,45378.55403995514
518,-1532.968429,5,45399.215270996094
519,-1549.371792,53,45469.383429050446
520,-1527.005953,13,45489.27944397926
521,-1671.68118,177,45678.07219004631
522,-1587.796787,39,45724.73701095581
523,-1527.528368,5,45736.397037029266
524,-1544.270314,17,45769.483092069626
525,-1538.326677,9,45794.330704927444
526,-1527.296261,5,45815.05116701126
527,-1530.248892,43,45874.92276597023
528,-1547.665045,7,45888.66110992432
529,-1609.585513,125,46032.82767701149
530,-1548.391142,23,46072.00563406944
531,-1536.624584,5,46092.72304606438
532,-1506.655574,1,46110.307346105576
533,-1784.336899,322,46448.68378996849
534,-1596.986384,63,46520.025738954544
535,-1532.436083,5,46540.75827097893
536,-1613.290178,83,46641.72711896896
537,-1558.6469,29,46678.08759498596
538,-1517.424654,3,46696.744353055954
539,-1545.859366,115,46830.63037490845
540,-1535.665332,5,46842.33125591278
541,-1517.783269,3,46851.97387290001
542,-1631.956889,135,47006.58526992798
543,-1569.962719,49,47063.57844901085
544,-1531.518862,5,47084.27501106262
545,-1597.868703,95,47188.61642408371
546,-1617.895228,119,47317.49657893181
547,-1589.655508,139,47467.30927801132
548,-1559.234158,43,47518.07378292084
549,-1563.246547,7,47540.87135505676
550,-1537.395509,5,47561.57924795151
551,-1520.718031,15,47583.532114982605
552,-1908.637248,425,48027.469755887985
553,-1519.738209,21,48055.59641504288
554,-1543.72293,33,48105.08783698082
555,-1524.364581,5,48125.81061005592
556,-1518.242562,3,48135.44060301781
557,-1517.75964,3,48160.123733997345
558,-1568.505194,69,48246.74277806282
559,-1522.242724,3,48256.380423069
560,-1540.553767,5,48277.114690065384
561,-1693.89526,211,48509.68480396271
562,-1542.074793,29,48555.15467810631
563,-1536.982957,5,48575.906944036484
564,-1568.578856,55,48639.04328203201
565,-1584.459868,117,48765.92686700821
566,-1568.810956,19,48792.00555706024
567,-1586.217106,221,49035.062150001526
568,-1514.62564,3,49044.68716788292
569,-1530.610241,5,49056.37085700035
570,-1649.416835,111,49177.17964196205
571,-1638.769712,123,49310.23482108116
572,-1524.971842,5,49321.90485596657
573,-1560.077748,53,49383.03120589256
574,1984.591992,3,49392.66657209396
575,-1506.535948,1,49396.21577191353
576,-1650.082594,92,49497.86857509613
577,-1517.926603,13,49517.765652894974
578,1966.876636,38,49562.86579608917
579,-1542.255263,23,49588.081506967545
580,-1535.110263,5,49599.76781988144
581,-1539.877051,7,49622.518776893616
582,-1623.939363,83,49714.44322490692
583,-1732.746799,317,50046.774204969406
584,-1554.421311,11,50064.6434469223
585,-1600.373593,117,50200.626436948776
586,-1592.298052,69,50287.28447890282
587,-1544.183828,21,50315.39028906822
588,-1574.508862,57,50380.66214299202
589,-1520.19859,3,50390.291763067245
590,-1540.029382,7,50413.06420707703
591,-1593.900919,27,50456.289716005325
592,-1544.258074,63,50527.75535392761
593,-1564.250633,23,50567.017208099365
594,-1535.748075,5,50587.71637701988
595,-1523.939618,5,50608.47498393059
596,-1520.10346,3,50618.11172795296
597,-1548.501865,11,50635.94737291336
598,-1527.918851,5,50647.62242889404
599,-1614.428006,93,50749.84850907326
600,-1587.604135,107,50866.51711511612
601,-1609.184215,113,50989.36469292641
602,-1575.95942,37,51033.944355010986
603,-1539.190488,13,51053.90680503845
604,-1549.605449,63,51134.30964398384
605,-1610.858694,119,51263.19118499756
606,-1585.803177,69,51340.87350010872
607,-1653.168322,451,51820.51676797867
608,-1534.108325,25,51852.73763895035
609,-1561.543415,23,51882.99849009514
610,-1598.434287,29,51919.44597697258
611,1765.089017,268,52201.21056103706
612,-1541.762024,89,52294.236943006516
613,-1626.958265,91,52394.61487698555
614,-1522.38625,37,52448.154076099396
615,-1527.174493,11,52465.98065304756
616,-1698.629996,123,52599.100481987
617,-1624.737295,179,52790.06341099739
618,-1758.872778,319,53125.02458310127
619,-1518.933755,3,53134.65816402435
620,-1557.087499,11,53161.56140804291
621,-1522.014693,3,53186.23701405525
622,-1603.603717,141,53346.84747505188
623,-1521.576052,3,53356.4914689064
624,-1516.220967,3,53375.1539978981
625,-1608.734625,75,53467.893328905106
626,-1543.082008,21,53496.06608891487
627,-1537.326036,79,53583.95017910004
628,-1605.147564,215,53820.82073688507
