index,r,l,t
119,-2047.289119,18,4825.462677001953
120,-2115.225008,44,4838.144161939621
121,-2088.809226,63,4857.109021902084
122,-2043.630835,19,4865.384462118149
123,-2021.681883,8,4873.5759909152985
124,-2024.105918,9,4881.737510919571
125,-2063.736597,24,4891.090354919434
126,-2055.767729,21,4902.242224931717
127,-2018.136848,8,4910.4051060676575
128,-2021.341714,52,4926.223648071289
129,-2329.01444,407,5037.17021894455
130,-2545.673946,494,5200.234581947327
131,-2435.865661,385,5342.004678964615
132,-2822.548323,900,5651.356734991074
133,-2019.360177,8,5659.509933948517
134,-2062.117153,73,5698.836426019669
135,-2415.513606,572,5893.001425027847
136,-2722.856322,913,6191.557867050171
137,-2168.961693,202,6265.18759393692
138,-2018.75667,8,6273.394423007965
139,-2036.28395,13,6281.629429101944
140,-2336.944734,521,6457.436064958572
141,-3333.036948,4001,7379.073666095734
142,-2133.453742,203,7419.614218950272
143,-2163.182792,81,7442.8379011154175
144,-5085.964262,2625,7969.3165900707245
145,-3897.94623,4001,8816.8150370121
146,-4359.811444,1827,9164.27475309372
147,-6199.576185,4001,9973.064449071884
148,-3832.645901,4001,10736.05415391922
149,-3006.516348,711,10863.204253911972
150,-3668.825822,4001,11615.4395840168
151,-5959.966779,4001,12382.20349407196
152,-3825.233729,1576,12672.067821025848
153,-2998.695293,1400,12973.800793886185
154,-5225.436305,2164,13424.173618078232
155,-2164.785431,4001,14188.183392047882
156,-2033.2088,4001,14895.006593942642
157,-4767.165542,1906,15273.219238042831
158,-3087.836904,1081,15492.044925928116
159,-2135.71839,52,15521.94518995285
160,-2057.951218,15,15530.192764043808
161,-2038.498264,10,15539.330523014069
162,-2073.618374,30,15563.953674077988
163,-2028.720692,8,15572.112684965134
164,-2158.325118,124,15618.02063703537
165,-2038.614187,15,15628.277079105377
166,-2024.322484,8,15636.464677095413
167,-2021.777459,8,15644.592849969864
168,-5713.911341,4001,16499.092184066772
169,-7043.492263,3613,17171.73094201088
170,-5056.166133,4001,17935.286659002304
171,-5264.757943,4001,18708.24065208435
172,-5846.762522,4001,19433.13383293152
173,-5486.553529,4001,20201.235395908356
174,-2156.941132,122,20238.879147052765
175,-3045.82888,4001,20996.254816055298
176,-2939.450417,4001,21740.5324819088
177,-3648.691347,4001,22485.044538974762
178,-3302.00993,4001,23239.908466100693
179,-2695.964863,4001,23980.776937007904
180,-5448.210535,4001,24860.082597970963
181,-818.736895,4001,25703.6023979187
182,-3014.157067,4001,26507.635752916336
183,-5648.169575,4001,27294.722768068314
184,-4190.069739,4001,28050.702806949615
185,-3354.288143,4001,28859.37077498436
186,-5163.607446,4001,29667.84037208557
187,-978.381456,4001,30472.111871004105
188,-5783.521191,4001,31309.529609918594
189,-3631.45943,4001,32103.730679035187
190,-5618.433102,4001,32914.0728430748
191,-5202.983908,4001,33674.41447710991
192,-5610.919673,4001,34478.68565893173
193,-5983.271729,4001,35285.51850605011
194,-2474.725535,4001,36082.936693906784
195,-5229.329,4001,36889.57965803146
196,-3141.553379,4001,37674.92437291145
197,-5458.64028,4001,38524.106534957886
198,-4926.1745,4001,39352.768348932266
199,-4088.211105,4001,40185.14496898651
200,-5412.134717,4001,40975.76121211052
201,-5111.386363,4001,41835.43548202515
