index,r,l,t
146,-1371.289975,121,11217.11824297905
147,-1264.726656,79,11316.733844995499
148,-1042.280135,27,11362.945334911346
149,-1028.39357,13,11385.828273057938
150,-1470.243026,203,11603.094060897827
151,-1692.765765,227,11845.250544071198
152,-1037.503003,15,11870.105742931366
153,-1614.839771,163,12046.634236097336
154,-1056.594668,15,12080.5862159729
155,-1072.436477,23,12122.76895904541
156,-1412.362555,185,12322.098690032959
157,1997.443147,1,12342.672092914581
158,-1282.961803,111,12459.921576976776
159,-1482.862538,165,12647.417121887207
160,-1017.992077,7,12664.13986992836
161,-1021.56933,15,12689.004524946213
162,-1157.637038,59,12758.992033958435
163,-1500.645885,137,12908.960728883743
164,-1072.362903,21,12939.952347040176
165,-1034.9608,21,12970.979548931122
166,-1183.789786,63,13054.00183391571
167,-1016.082595,3,13066.635859966278
168,-1291.402283,125,13213.210771083832
169,-1039.155261,13,13236.043828964233
170,-1592.021077,163,13412.498511075974
171,-1033.801384,9,13431.28578710556
172,-1190.496449,75,13517.654019117355
173,-2323.649105,455,14001.861905097961
174,-1095.725444,43,14055.240988016129
175,-1326.035346,119,14195.519289016724
176,-1016.510757,5,14210.187577009201
177,-1019.903624,5,14224.819087982178
178,-1024.234915,9,14243.612924098969
179,-1054.685365,31,14284.771065950394
180,-1803.255517,259,14559.053230047226
181,-1189.501621,71,14641.369920015335
182,-1423.109581,155,14809.228703975677
183,-1104.942031,29,14857.416816949844
184,-1037.633508,31,14898.668270111084
185,-1115.238039,39,14948.025346040726
186,-1008.051584,3,14960.6122341156
187,-1305.085932,87,15067.969496965408
188,-1434.581574,247,15344.517719984055
189,-1031.700286,17,15380.419900894165
190,-1121.948143,35,15425.797033071518
191,-1928.789265,265,15714.635766029358
192,-1021.651651,5,15729.270888090134
193,-1604.658822,179,15930.349379062653
194,-1320.192185,83,16024.477957963943
195,-1043.039162,35,16069.742522001266
196,-1522.767607,177,16259.682884931564
197,-1033.041516,5,16274.285768985748
198,-1305.459263,181,16477.49070096016
199,-1024.830331,17,16504.396697044373
200,-1146.929414,79,16594.667711019516
201,-1011.419171,3,16607.243046045303
202,1029.661336,338,16963.37167406082
203,-1015.067541,3,16971.006612062454
204,-1356.906138,113,17096.956077098846
205,-2447.579135,629,17753.362519025803
206,-1084.840333,37,17810.006175994873
207,-1234.763908,73,17894.58505797386
208,-1134.499094,69,17975.11612892151
209,-1008.990479,3,17987.726331949234
210,-1151.063516,43,18050.558166980743
211,-1535.870815,171,18244.964380025864
212,-1419.665978,195,18463.99522805214
213,-1049.061117,19,18502.090926885605
214,-1993.9205,449,18982.624990940094
215,-1014.911189,3,18995.240947008133
216,-1028.891873,25,19030.548444986343
217,-1295.146669,79,19121.387722969055
218,-1247.404484,73,19206.00380706787
219,-1228.166278,107,19325.73702096939
220,-1163.584585,75,19412.369714021683
221,-1147.010831,53,19485.37793302536
222,-1018.886674,7,19511.186352968216
223,-1287.535631,185,19720.195120096207
224,-1357.181684,203,19947.461199998856
225,-1055.125821,23,19980.704721927643
226,-1020.818028,3,19993.32880091667
227,-1377.660849,155,20171.38918209076
228,-1156.097496,55,20246.550287008286
229,-1465.309859,155,20424.437866926193
230,-1176.662423,51,20495.48921394348
231,-1101.069269,43,20549.31997203827
232,-1068.261954,23,20582.51587510109
233,-1419.057101,153,20758.472295045853
234,-1014.548347,3,20771.096575021744
235,-1147.778684,47,20838.02015709877
236,-1207.952345,95,20945.357079982758
237,-1118.121541,29,20984.725265979767
238,-1172.947911,99,21105.23440504074
239,-1325.953755,109,21226.9197371006
240,1990.504062,6,21251.161700963974
241,-1058.040236,25,21281.4671459198
242,-1392.744534,109,21403.08247089386
243,-1180.437561,75,21489.699991941452
244,-1015.546926,3,21502.33071899414
245,-1407.353822,155,21671.363432884216
246,-1023.425255,13,21703.297749996185
247,-1227.683367,83,21807.147944927216
248,-1009.85305,3,21819.8029088974
249,-1026.113636,15,21844.72933292389
250,-1057.114137,11,21874.590934991837
251,-1297.794782,153,22050.4986679554
252,-1017.873747,3,22063.12825202942
253,-1247.529685,93,22168.43535709381
254,-1014.7519,13,22200.35167002678
255,-1021.671206,13,22223.282780885696
256,-1347.482612,95,22330.560543060303
257,-1015.618771,3,22343.208755016327
258,-1087.493839,43,22397.06907892227
259,-1013.877337,3,22409.707267045975
260,-1311.626293,131,22562.954919099808
261,-1009.780283,3,22575.574124097824
262,-1575.280084,221,22812.47257590294
263,-1171.670451,45,22868.320125102997
264,-1357.791789,187,23079.10514497757
265,-1029.917275,7,23104.900872945786
266,-1135.783409,41,23156.602212905884
267,-1035.136746,11,23186.4746029377
268,-1375.40659,173,23374.085994005203
269,-1079.615922,29,23422.48611497879
270,-1012.20939,9,23450.322333097458
271,-1013.453756,3,23462.95749592781
272,-1421.589542,129,23605.334978103638
273,-1307.108949,99,23716.662075042725
274,-1015.039434,3,23729.297418117523
275,-1311.406109,101,23842.69721388817
276,-1344.553841,117,23981.58328294754
277,-1070.290271,25,24016.83447289467
278,-2154.074361,415,24453.52787089348
279,-1407.031508,179,24647.11053299904
280,-1142.594455,83,24742.01932501793
281,-1262.468557,135,24890.317090034485
282,-1054.263305,23,24932.523644924164
283,-1080.739663,45,24988.444458007812
284,-1009.518044,7,25014.261504888535
285,-1024.937679,13,25037.147859096527
286,-1149.405481,73,25121.86034488678
287,-1091.408706,35,25176.499710083008
288,-1157.599844,87,25284.46496796608
289,-1260.669664,61,25365.80703806877
290,-2292.091049,405,25792.06995201111
291,-1182.475796,87,25891.066672086716
292,-1679.854296,249,26165.725347042084
293,-1195.453299,93,26270.94300699234
294,-1365.144435,155,26439.90026497841
295,-1191.262645,87,26547.989907979965
296,-1035.86228,15,26581.986352920532
297,-1010.145101,3,26594.63418197632
298,-1217.588633,79,26694.40379190445
299,-1251.327354,97,26803.7172870636
300,-1032.726222,9,26822.514352083206
301,-1833.287663,275,27123.883181095123
302,-1148.754404,67,27202.35783100128
303,-1213.647155,59,27281.605675935745
304,-1798.971795,237,27534.959794044495
305,-1018.312392,5,27558.68563103676
306,-1013.334096,3,27571.32325196266
307,-4234.805597,1067,28678.17017197609
308,-1059.590264,23,28711.269752025604
309,-1095.64737,49,28780.221738100052
310,-1164.023405,71,28871.79242706299
311,-1130.053106,55,28937.849462985992
312,-1020.455598,7,28954.60265803337
313,-1423.450931,163,29131.881057977676
314,-1082.816948,43,29185.713700056076
315,-1768.280799,311,29515.055031061172
316,-1021.45244,5,29529.735591888428
317,-4786.438932,1657,31243.783639907837
318,-1872.755758,393,31666.581837892532
319,-4839.073851,1195,32905.33262205124
320,-2473.586869,477,33414.56786298752
321,-7776.494867,1393,34856.51380801201
322,-3835.084737,811,35700.21260499954
323,-2757.535583,559,36284.57579302788
324,-3079.777435,693,37007.55830311775
325,-3668.749119,655,37691.18344902992
326,-11827.584274,4001,41816.399508953094
327,487.286011,344,42174.10351705551
328,-2934.300249,635,42831.96612906456
329,-1053.611322,19,42861.069154024124
330,-1086.405563,31,42902.394531965256
331,-1773.321206,285,43214.01402807236
332,-2643.73745,583,43823.17416596413
333,-1023.845034,5,43837.82114601135
334,-4064.650585,721,44589.18139696121
335,68.098849,610,45225.6265399456
336,-2134.526463,485,45729.333226919174
337,-1024.094322,5,45759.0901389122
338,-1013.265103,3,45771.73677301407
339,-3706.43288,799,46612.302783966064
340,-2976.112692,645,47285.260822057724
341,-1499.301945,167,47475.6731441021
342,-2387.620139,303,47796.93258190155
343,-4659.721183,507,48328.06021595001
344,-3095.887546,575,48928.82839393616
345,-2379.275532,499,49451.44759988785
346,-2185.143774,289,49758.02324604988
347,-1083.629083,23,49791.15168809891
348,-3511.253243,767,50604.61025094986
349,-1489.6846,153,50780.71661090851
