index,r,l,t
243,-1071.00578,306,23147.239561080933
244,-1607.725752,309,23314.930753946304
245,-5166.405792,1193,23932.18240094185
246,-1508.365519,611,24247.92815208435
247,-606.657635,35,24275.295162916183
248,-522.309214,7,24288.383783102036
249,-907.587765,125,24361.58180809021
250,-532.633111,9,24375.706058979034
251,-586.280735,47,24409.15363097191
252,-649.877853,71,24455.718528985977
253,-1371.512476,425,24666.45686006546
254,-545.522724,11,24681.586783885956
255,-561.884776,27,24704.843259096146
256,-563.812485,21,24722.062024116516
257,-4348.879443,1324,25379.180320978165
258,-517.267009,5,25400.297638893127
259,-808.40203,137,25479.476224899292
260,-3974.335711,1238,26077.776324033737
261,-605.19273,29,26102.06750202179
262,-573.480357,17,26120.281038999557
263,-548.493148,13,26136.439945936203
264,-3202.187963,984,26640.674931049347
265,-1886.768267,410,26840.345097064972
266,-2394.451901,569,27139.71532702446
267,-796.93468,115,27207.839724063873
268,-547.363119,15,27225.00743508339
269,-547.326065,41,27264.431427955627
270,-770.989126,206,27380.35187292099
271,-1689.739798,411,27608.115509033203
272,-586.051346,87,27661.987394094467
273,-951.628011,111,27729.048403024673
274,-2140.068338,603,28045.809334993362
275,-589.228634,31,28071.108175992966
276,-864.407216,153,28158.55282306671
277,-1286.273537,303,28322.309792995453
278,-670.25412,41,28361.711164951324
279,-730.240448,129,28436.837342977524
280,-1196.548038,367,28631.21367788315
281,-715.413122,154,28720.645942926407
282,-2198.9316,611,29032.353538036346
283,-560.903097,23,29053.62079191208
284,-541.203732,17,29071.776125907898
285,-572.423637,17,29089.96968603134
286,-1257.895626,303,29248.6890540123
287,-3741.284575,1512,30028.529372930527
288,-2814.763101,452,30244.521953105927
289,-552.775601,21,30273.76970601082
290,-550.424264,13,30298.954699993134
291,827.455757,124,30371.044162988663
292,109.070867,328,30535.040261030197
293,-1410.891262,395,30740.631464004517
294,-1465.219679,249,30885.896713018417
295,-586.721603,17,30904.098572015762
296,-2586.747211,555,31192.041136026382
297,-597.455082,31,31217.31312394142
298,-643.453948,83,31278.133182048798
299,-533.089952,9,31292.250920057297
300,-509.824234,3,31304.32442188263
301,-1179.420866,203,31408.026525974274
302,-554.349598,17,31435.254724025726
303,-530.065399,9,31449.36291694641
304,-881.338109,221,31571.450710058212
305,-532.078174,7,31584.602961063385
306,-534.691052,11,31599.724037885666
307,-533.119857,11,31614.861466884613
308,-627.953002,59,31654.47641801834
309,-550.388316,17,31672.6722741127
310,-607.139079,29,31706.053503990173
311,-558.767788,25,31728.371412038803
312,-1160.108217,299,31876.0307700634
313,-525.335241,7,31889.132036924362
314,-512.321631,3,31901.198678016663
315,-587.555536,44,31933.67642903328
316,-760.904573,97,32001.63617992401
317,-677.952424,111,32076.767466068268
318,799.627799,202,32188.63602089882
319,-1973.197874,473,32435.00385403633
320,-534.996112,7,32448.11283993721
321,-544.655084,13,32464.27782893181
322,-1881.208231,405,32680.166383981705
323,-4189.950223,574,32979.388120889664
324,-689.599249,99,33039.35240793228
325,-531.069409,11,33063.52292108536
326,-518.848765,7,33076.60334300995
327,-535.951501,15,33093.752032995224
328,-544.57056,13,33109.90808010101
329,-534.06115,9,33124.01885509491
330,-550.403499,35,33151.346715927124
331,-546.235903,15,33177.566468954086
332,-584.643116,23,33198.77801990509
333,-1186.949304,161,33290.313704013824
334,-592.335255,47,33323.75054001808
335,-960.021987,235,33452.919619083405
336,-900.341067,187,33558.797609090805
337,-850.163577,233,33686.94555091858
338,-3545.094174,822,34096.489075899124
339,-863.956253,255,34245.023273944855
340,-837.369329,177,34344.67526602745
341,-2637.039113,387,34531.87981510162
342,-563.905245,17,34559.10088801384
343,-523.313675,7,34572.19424891472
344,-541.497982,13,34588.33169007301
345,-529.559086,15,34605.48051691055
346,-542.398789,13,34622.65308594704
347,-1102.282155,207,34737.50129199028
348,-720.10401,91,34793.317486047745
349,-528.892691,7,34806.40709710121
350,-546.624379,11,34821.52436709404
351,-661.394866,69,34866.18103098869
352,-577.991064,33,34892.493220090866
353,-621.405475,45,34924.92844390869
354,-540.955623,11,34940.059109926224
355,-521.618661,9,34954.17468595505
356,-527.512929,15,34971.332730054855
357,-540.202892,19,34990.51991891861
358,-545.265374,19,35009.70363402367
359,-596.851288,35,35046.10495901108
360,-517.625434,11,35070.290102005005
361,-527.747198,9,35084.42536711693
362,-561.24032,23,35105.685448884964
363,-3575.672095,985,35618.47485399246
364,-539.755287,9,35641.63788199425
365,-637.31638,49,35676.108932971954
366,-532.666682,11,35691.263576984406
367,-2481.173093,706,36053.685587882996
368,-1068.974578,257,36195.123332977295
369,-579.148364,17,36213.3282790184
370,-1004.284144,157,36302.64766407013
371,-1241.417533,241,36424.02053499222
