type,x,y
position,-0.02289339700214143,-2.488793820902669
position,-0.23011609592290405,-2.5186417405717685
position,-0.4955799380951791,-2.437122625792323
position,-0.7490226575492238,-2.4041680428982377
position,-0.950835231420201,-2.412656784624887
position,-1.211972056006505,-2.408919036126166
position,-1.3190359825084315,-2.4493718591907747
position,-1.4408789743004633,-2.410483137808785
position,-1.5941235775451446,-2.3309704999946343
position,-1.5036548757197223,-2.501276801726377
position,-1.4525149554539298,-2.509525312311036
position,-1.3849628402089114,-2.6536316138471023
position,-1.4520474080120311,-2.4284764210845453
position,-1.6289345633732175,-2.2941564017940985
position,-1.8194757384311353,-2.1064670692749616
position,-1.966401382074361,-1.9658254683429333
position,-1.971698115674316,-1.9828873851964557
position,-1.9027420554918304,-1.9575821096113435
position,-1.717056430470032,-1.9294331830569598
position,-1.4600603043023153,-1.8662655445602534
position,-1.2216090842060352,-1.844923303120533
position,-0.9714676727506296,-1.8426577681985994
position,-0.9611193591211584,-1.8358627631163462
position,-0.9371089408673328,-1.8533526980100343
position,-0.8724100540261516,-1.9000276582189464
position,-0.6091571921376585,-2.1674695868110874
position,-0.4129494923999468,-2.3720412860002917
position,-0.39706851406941207,-2.399284096090963
position,-0.45699954425354994,-2.253407870099929
position,-0.45256227186296943,-2.2104406873562885
position,-0.4348749129138732,-2.021060374346555
position,-0.4319611834286468,-1.909454726843349
position,-0.36520468951018725,-1.7644016600960557
position,-0.40432112501045275,-1.6772915501578265
position,-0.4336672731560278,-1.6946505220504293
position,-0.4299438786814212,-1.7419677507998395
position,-0.5247427559672132,-1.746119208150569
position,-0.5383908615553847,-1.771114430753504
position,-0.447943567564494,-1.7576682094104603
position,-0.42314850930355813,-1.7656485995307696
position,-0.6075832341049036,-1.5672249805019471
position,-0.5991502170626667,-1.6420211306833783
position,-0.8112638700250224,-1.3064494231424981
position,-1.019124252595264,-1.1407772371539004
position,-1.0473860834210862,-1.1513541870773518
position,-1.1535314246024606,-1.0250924203557326
position,-0.9821959544944442,-1.2346781271525076
position,-1.024680952540768,-1.1199909068544298
position,-1.0427688215699613,-1.1285509491564505
position,-1.0618732913622975,-1.0157744302565705
position,-1.0548821589655315,-0.8205801809537141
position,-1.0282317394573022,-0.7044314688921219
position,-1.04275779543509,-0.7470923887540252
position,-1.1889191316088896,-1.0254396213379426
position,-1.2819293825789781,-1.2359370275385613
position,-1.3008101681897788,-1.226262915123264
position,-1.1978516058058277,-1.0463455790563387
position,-1.1796580080125827,-1.0220174102135677
position,-1.199702390626347,-1.0858043710063747
position,-1.125505394027016,-1.0945474344831008
position,-0.8590769238329147,-1.0832611046975285
position,-0.7380588548425097,-1.0936453102980186
position,-0.8461631044408586,-1.0858459438310106
position,-1.0805152257717485,-1.005943635553139
position,-1.1540656702595435,-0.9509151087200761
position,-1.3184891243129795,-0.9360821605655696
position,-1.52625966905075,-1.0007720210549238
position,-1.724349223200696,-1.0261737198526422
position,-2.011063989026572,-1.1442994256029675
position,-2.0605277959251134,-1.1704956222471516
position,-2.3042846099767003,-1.2811850180145217
position,-2.146298548906448,-1.273381488331013
position,-1.9363152043759757,-1.2144428868370054
position,-1.8275226205426458,-1.1563888783491445
position,-1.5811584739690345,-0.9977202233578851
position,-1.4234240473663644,-0.8923690585441748
position,-1.3515640091397227,-0.7939625409906882
position,-1.2764444880208394,-0.6551961936164074
position,-1.2285265441335724,-0.45029427273024025
position,-1.2008827845314944,-0.2781404979418906
position,-1.1870475823345639,-0.10918126973875841
position,-1.2417504675731847,-0.16580383473976182
position,-1.3706714578955848,-0.44743568742708756
position,-1.4306898487265742,-0.6538220679614868
position,-1.561814852401442,-0.9084871845892085
position,-1.613394105015547,-1.156447635155028
position,-1.697446060024543,-1.4133235288632169
position,-1.7735719689216627,-1.64663234741212
position,-1.816653776946649,-1.9135513889124167
