,timesteps,heading_error,change_distance,linear_velocity,angular_speed,path_deviation,closest_obstacle,reward
32,33,2.6264505169888483,0.0,-0.71,0.71,1.770222270114931,3.914606809616089,-2.8966374694908277
33,34,2.607351126853499,-0.5009004604963989,-0.71,0.71,1.2629927020589409,3.914606809616089,-2.226201454396263
34,35,2.607351126853499,0.0,-0.71,0.71,1.2629927020589409,3.836859941482544,-2.4813041199783608
35,36,1.449628670091194,-0.10074725645125415,-0.72,0.72,0.6308992595954949,3.836859941482544,-1.3484767614899802
36,37,1.449628670091194,0.0,-0.72,0.72,0.6308992595954949,3.305083990097046,-1.3991235516391902
37,38,0.42526398734515247,0.5605057108688163,-0.71,0.71,0.32443702119222684,3.305083990097046,-0.9057633627707206
38,39,0.42526398734515247,0.0,-0.71,0.71,0.32443702119222684,2.677173376083374,-0.6394160055308162
39,40,0.3011557155081932,0.5752315191135589,-0.72,0.72,0.6036038765445826,2.677173376083374,-1.0537836232826268
40,41,0.3011557155081932,0.0,-0.72,0.72,0.6036038765445826,2.0064022541046143,-0.8030507679069601
41,42,1.0089805282062425,0.5022218523557065,-0.74,0.73,1.2909054753678029,2.0064022541046143,-1.9155570691603518
42,43,1.0089805282062425,0.0,-0.74,0.73,1.2909054753678029,2.096262216567993,-1.7105598673273
43,44,1.5575362313243932,-0.041817013578588025,-0.72,0.72,1.802963834178624,2.096262216567993,-2.3758993594060573
44,45,1.5575362313243932,0.0,-0.72,0.72,1.802963834178624,2.765080213546753,-2.3907289919222934
45,46,2.0106453938883373,-0.41527856772931493,-0.71,0.71,1.9153087923188254,2.765080213546753,-2.5276346957299762
46,47,2.0106453938883373,0.0,-0.71,0.71,1.9153087923188254,3.552464246749878,-2.7048041257036877
47,48,2.799848190256295,-0.7108571287789873,-0.72,0.72,1.6811305465486293,3.552464246749878,-2.575298371468041
48,49,2.799848190256295,0.0,-0.72,0.72,1.6811305465486293,3.9703116416931152,-2.9144183412842484
49,50,2.439118427712147,-0.32784383932312444,-0.74,0.73,1.1825991795447273,3.9703116416931152,-2.1753379247150364
50,51,2.439118427712147,0.0,-0.74,0.73,1.1825991795447273,3.6552445888519287,-2.3389837804217914
51,52,1.158282817907238,-0.016991306995840283,-0.71,0.71,0.4592798998060536,3.6552445888519287,-1.1088928120895816
52,53,1.158282817907238,0.0,-0.71,0.71,0.4592798998060536,3.2617228031158447,-1.1137997237029205
53,54,0.03794315968388595,0.5632395873687361,-0.72,0.72,0.1291062081048882,3.2617228031158447,-0.5542317387241148
54,55,0.03794315968388595,0.0,-0.72,0.72,0.1291062081048882,2.4682958126068115,-0.29184635524305097
55,56,0.7098885381380473,0.7242279993250662,-0.72,0.72,0.9127923540606886,2.4682958126068115,-1.5564262868051442
56,57,0.7098885381380473,0.0,-0.72,0.72,0.9127923540606886,1.9492093324661255,-1.254767961234772
57,58,1.1554492929927687,0.24092349884542408,-0.75,0.74,1.3744788789350708,1.9492093324661255,-1.9538215419483744
58,59,1.1554492929927687,0.0,-0.75,0.74,1.3744788789350708,2.2176480293273926,-1.853008386587116
59,60,1.7085618955277768,-0.21176320336093024,-0.73,0.72,1.711358559793059,2.2176480293273926,-2.3096196505053546
60,61,1.7085618955277768,0.0,-0.73,0.72,1.711358559793059,2.9562833309173584,-2.394357604515533
